,가게이름,전화번호,카테고리,주소,운영시간,홈페이지,메뉴,블로그리뷰수
10,해룡마라룽샤 건대점,02-462-4009,중식, 동일로18길 36 도시엔 1층,매일 12:00~24:00 마감: 23:50분,,"2인분 세트(룽샤or매운새우+꿔바로우+볶음밥+음료수1) 49,000 | 3인분 세트(룽샤or매운새우+꿔바로우+토마토계란볶음+마라탕+볶음밥+음료수1) 69,000 | 4인분 세트(룽샤or매운새우+매운바지락+꿔바로우+마라탕+볶음밥+맥주1+음료수1) 79,000 | 6인분 세트(룽샤+매운새우+매운바지락+꿔바로우+마라탕+볶음밥2+맥주1+음료수1) 109,000 | 룽샤(마라룽샤·쨩샹룽샤) 35,000 | 매운 새우 32,000 | 매운 꽃게 30,000 | 생선구이 38,000 | 향라새우 18,000 | 꿔바로우 15,000 | 경장육사 15,000 | 향라육사 15,000 | 어향육사 15,000 | 매운천엽볶음 15,000 | 쯔란혈관 15,000 | 라조육 15,000 | 쯔란양고기 18,000 | 매운바지락 18,000 | 해물누룽지탕 15,000 | 수주육편 16,000 | 마라샹궈 28,000 | 매운갈비 18,000 | 마라탕 8,000 | 삼겹살볶음 18,000 | 가지볶음 12,000 | 토마토계란볶음 12,000 | 지삼선 120,000 | 쯔란감자 8,000 | 마파두부 8,000 | 건두부볶음 8,000 | 부추계란볶음 10,000 | 감자채볶음 8,000 | 토마토계란탕 8,000",967
11,매운향솥 마라탕 마라샹궈,02-6461-0016,중식, 동일로18길 61 매운향솥,매일 11:30~23:30 연중무휴,http://youtu.be/gMnLMBdkTjg,"홍소퓨전해물볶음 15,000 | 농가고기볶음 12,000 | 마늘오징어머리 12,000 | 깐풍기 12,000 | 라조기 12,000 | 향라육사 12,000 | 경장육사 12,000 | 어향육사 12,000 | 천향돼지고기볶음 12,000 | 깐밴육사 12,000 | 향라감자볶음 12,000 | 홍소갈비 11,000 | 크림새우 11,000 | 깐풍새우 11,000 | 청경채새우볶음 11,000 | 바지락볶음 11,000 | 퓨전두부요리 10,000 | 백김치당면볶음 10,000 | 지삼선 9,000 | 토마토계란볶음 9,000 | 마파두부 7,000 | 건두부볶음 7,000 | 오이소고기무침 12,000 | 파단두부 10,000 | 가정식냉채 7,000 | 오이양장피 7,000 | 오이무침 7,000 | 해물두부탕 9,000 | 토마토계란탕 6,000 | 쏸라탕 6,000 | 해물볶음면 7,000 | 볶음면 6,000 | 온면 6,000 | 가지볶음밥 6,000 | 계란볶음밥 5,000 | 냉면 5,000 | 물만두 5,000 | 꿔바로우 11,000",964
12,라구뜨,02-2218-5770,기타, 능동로 90 더클래식500 B동 3층,평일 07:00~21:30 | 토요일 07:00~21:30 | 일요일 07:00~21:00 | 공휴일 07:00~21:00,http://www.pentaz.co.kr/restaurant/lagoutte.do,"주중/주말 아침뷔페(07:00~10:00) 성인 25,000 | 주중 점심 뷔페(12:00~14:30) 성인 55,000 | 주중 저녁 뷔페(18:00~21:30) 성인 67,000 | 주말·공휴일 뷔페 성인 72,000 | 라구뜨 홈파티 박스 A세트 160,000 | 라구뜨 홈파티 박스 B세트 160,000 | 라구뜨 홈파티 박스 키즈세트 120,000",938
13,르프리크,02-2054-0119,양식, 연무장5길 9-16 블루스톤타워 B103,매일 11:30~21:00 BREAK TIME (15:00~17:30) / 런치 11:30~15:00 (라스트오더 14:30) / 디너 17:30~21:00 (라스트오더 20:30),,"시그니처버거 10,800",881
14,탐광,070-8869-3333,일식, 연무장5가길 26,"매일 11:30~21:00 15시~17시 쉬는시간/20시30분 마지막주문/예약불가/신정, 설당일&전날, 추석당일&전날 휴무",,"가츠동 9,000",857
15,이오로비스트로,02-498-0702,기타, 연무장5길 18 1층,"매일 11:00~21:30 브레이크타임 15:00-17:00/ 라스트오더 20:30/금,토,일 및 공휴일 예약불가",https://www.instagram.com/ioro._.official,"매콤명란파스타 13,900 | 명란새우크림파스타 13,900 | 야끼대창파스타 13,900 | 바질페스토새우 파스타 14,900 | 참치노리마끼 14,900 | 이오로 모듬 스시락 19,900 | 부타규동 10,900 | 김치대창필라프 11,900 | 타마고야끼만두 6,500 | 타마고산도 7,500 | 연어대왕초밥 8,500 | 문어튀김과 감자튀김 12,900 | 특사케동 13,900 | 연어우니동 17,900 | 참치우니동 18,900 | 우니추가 9,000 | 참치노리마끼1/2 8,500",850
16,글로우,070-5097-5506,카페, 아차산로9길 20 1층,"평일 09:00~22:00 신정, 구정, 추석 당일 휴무 | 주말 10:00~22:00",https://www.instagram.com/4fbhouse/,"루나바닐라 5,500 | 아메리카노 4,500 | 아인슈페너 6,000 | 버터스카치 5,500 | 시나모니 5,500 | 뽀또라떼 5,500 | 단호박크림라떼 5,500 | 바닐라까눌레 2,500 | 얼그레이무화과케이크 4,800 | 당근케이크 5,500 | 애플피칸케이크 5,800 | 플레인스콘 3,500 | 말차스콘 4,000 | 앙버터스콘 4,500 | 라임모히또에이드 6,500 | 청포도주스 6,500 | 자몽주수 6,500 | 초코라떼 5,500 | 녹차라떼 5,500",837
17,성수명당,070-8833-3227,펍, 연무장19길 10 1층,화요일 17:00~02:00 | 수요일 17:00~02:00 | 목요일 17:00~02:00 | 금요일 17:00~02:00 | 토요일 17:00~02:00 | 일요일 17:00~02:00,http://www.instagram.com/seongsu_myeongdang,"더오프라인샵 스테이크 43,000 | 생참치연어 김밥 23,000 | 고등어 봉초밥 19,000 | 생연어 사시미 33,000 | 대왕연어초밥 21,000 | 베이컨라구파스타 21,000 | 명당로제떡볶이 23,000 | 국내산 통삼겹 김치찜 22,000 | 차돌박이 우동 23,000 | 바지락 미나리전 22,000 | 멜론과 프로슈토 14,000",832
18,텅플래닛 성수,02-498-1113,카페/디저트, 성수이로 82 2층,매일 13:00~21:00 10월 12일을 휴무일입니다.,http://www.tongueplanet.com/,"텅 시그니처 8,000 | 텅 아메리카노 5,500 | 텅 이모지케이크 12,000 | 텅 쿠키 3,000 | 텅 라떼 6,000 | 텅 자몽 에이드 7,000 | 패션후르츠 에이드 7,000 | 텅 커피 블렌디드 8,000 | 텅 요거트 블렌디드 7,500 | 텅 베리 블렌디드 7,500 | 텅 레이어드 케이크 13,000 | 텅 팝파이 9,000 | 텅 콤마 7,000 | 텅 쿼트 7,000 | 텅 피리어드 7,000 | 텅 스톤초코무스 14,000 | 텅 치즈케이크 12,000",824
19,경성양육관,02-467-6880,중식, 동일로18길 52,매일 11:00~12:00 연중무휴,,"양꼬치 14,000 | 꿔바오루 16,000 | 크림새우 18,000 | 가지튀김 15,000 | 고급양갈비 27,000 | 양갈비살꼬치 18,000 | 양목살꼬치 18,000 | 양힘줄꼬치 17,000 | 마라갈비꼬치 16,000 | 소갈비꼬치 16,000 | 양깃머리 20,000 | 소염통줄기 14,000 | 소떡심 14,000 | 메추리 12,000 | 왕새우 17,000 | 마라탕 10,000 | 향라육사 17,000 | 어향육사 17,000 | 마라소고기채 20,000 | 소고기고추볶음 20,000 | 매운양깃머리볶음 22,000 | 마파두부 12,000 | 계란토마토볶음 15,000 | 지삼선 15,000 | 어향가지볶음 15,000 | 쯔란염통줄기 16,000 | 향라대하 18,000 | 칠리새우 18,000 | 송화단두부무침 12,000 | 오이무침 12,000 | 새우청경채볶음 17,000 | 닭똥찝 14,000",761
20,아트몬스터 성수점,02-465-6110,펍, 성수일로8길 16 2호선 성수역 1번 출구에서 도보 3분 소요됩니다.,평일 17:00~00:00 | 토요일 15:00~00:00 | 일요일 15:00~23:00 | 공휴일 15:00~23:00,https://blog.naver.com/artmonsterbrewery,"청담동 며느리 5,500 | 몽크푸드 5,500 | 이태원 프리덤 5,500 | 넘사벽 7,000 | 핵존심 6,500 | 운짱 5,500 | 첫사랑의 향기 5,500 | 창세기 7,000 | 수다스폰서 6,000 | 사랑범벅 6,000 | 맥주 샘플러 5종류 (220ml) 17,000 | 프라이드 치킨 16,000 | 옛날 양념 치킨 (NEW) 17,000 | 매운 간장 치킨 17,000 | 바베큐 핫 치킨 17,000 | 반반 치킨 17,000 | 순살 옛날 양념 치킨 (NEW) 17,000 | 순살 매운 간장 치킨 (BEST) 17,000 | 순살 바베큐 핫 치킨 17,000 | 순살 청양마요 치킨 17,000 | 순살 로제크림 치킨 (인기) 19,000 | 순살 치킨 떡볶이 (인기) 15,000 | JMT 로제 떡볶이 순살 치킨 (NEW) 17,000 | 피자 아몽 (BEST) 14,000 | 반반 감자&고구마 피자 14,000 | 더블 치즈 페페로니 피자 (인기) 14,000 | 청양 페페로니 피자 (인기) 14,000 | 트러플 고르곤졸라 피자 14,000 | 세븐 치즈 피자 15,000 | 베이컨 하와이언 피자 14,000 | 바베큐 핫치킨 피자 16,000 | 반반피자 16,000",747
21,매화반점,02-462-1939,중식, 동일로18길 96,매일 13:00~00:00 매주 화요일 휴무,,"양꼬치 (1인분 10꼬치) 14,000 | 중국식 탕수육 12,000 | 가지볶음 10,000 | 크림새우 15,000 | 양갈비(프렌치램랙) 18,000",746
22,&meal,070-8888-0919,기타, 연무장3길 5-1 3층,매일 11:00~20:00 라스트오더 19:00,http://instagram.com/andmeal_sy,"바질크림고구마 10,000 | 무화괌말랭이 10,500 | 청양애플브리바게트 10,500 | 새우에그샌드위치 9,000 | 꼬꼬아보파니니 11,000 | 바질닭가슴살샐러드 11,500",728
23,송화양꼬치,02-462-7826,중식, 동일로18길 70,매일 11:00~02:00,http://songhwa.7x7.kr,"오리지널양꼬치(10꼬치) 15,000 | 송화양꼬치(10꼬치) 13,000 | 양갈비살(10꼬치) 15,000 | 소꼬치(10꼬치) 15,000 | 고급양갈비(300g) 25,000 | 꿔보러우 10,000 | 가지튀김 10,000 | 닭똥집(10꼬치) 13,000 | 새우(8개) 13,000 | 돼지심장(10꼬치) 13,000 | 소떡심(10꼬치) 13,000 | 닭날개(6개) 13,000 | 어향육슬 15,000 | 향라육슬 15,000 | 경장육 15,000 | 어향가지 15,000 | 돼지고기튀김 15,000 | 지삼선 15,000 | 수주육편 18,000 | 마라닭날개 15,000 | 라즈지 15,000 | 고구마맛탕 15,000 | 단콩볶음 15,000 | 백김치당면 15,000 | 감자볶음 10,000 | 파소라무침 25,000 | 삼선누룽지탕 15,000 | 삼선가지튀김 18,000 | 아스파라거스새우볶음 18,000 | 유린 18,000 | 우유대하 18,000 | 칠리새우 18,000 | 새우살튀김 18,000 | 홍소우리위 28,000 | 소배필수육 18,000 | 마늘청경채 10,000 | 새우살청경채 15,000 | 청경채표고버섯 15,000 | 부추계란볶음 10,000 | 토마토계란볶음 10,000 | 철판소고기 20,000 | 철판명란 20,000 | 번데기볶음 18,000 | 매운소양볶음 15,000 | 개구리다리튀김 18,000 | 쯔란양고기 15,000 | 마라대하 18,000 | 매콤바지락 15,000 | 마라쪽갈비 18,000 | 깐풍기 18,000",720
24,도렐 성수점,02-516-3675,카페, 연무장7길 11 1층 도렐 성수점,평일 08:00~21:00 | 공휴일 11:00~21:00,http://www.instagram.com/dorrell_coffee,"블랙치스톤 4,500 | 그라데이슈 4,800 | 성수동못난이(베이컨) 5,500 | 성수동못난이(초코) 4,500 | 캐그 4,500 | 얼그레이파운드 3,600 | 레몬파운드 3,600 | 르뱅쿠키(화이트) 3,800 | 르뱅쿠키(다크) 3,800 | 르뱅쿠키(밀크) 3,800 | 까눌레 2,900 | 캐그 4,500 | 너티클라우드 6,500",700
25,Scene,02-468-2122,카페/디저트, 연무장5길 20,매일 10:00~22:00,http://www.sceneseoul.com,"에스프레소 5,000 | 아메리카노 5,000 | 라떼 6,000 | 오렌지 에이드 7,000 | 레몬 얼그레이 아이스티 8,000",695
26,에르제 성수,02-469-7012,카페/디저트, 아차산로 135 1층,평일 08:00~19:00 재료소진시 조기마감!! | 공휴일 10:00~19:00 재료소진시 조기마감!! | 주말 10:00~19:00 재료소진시 조기마감!!,http://instagram.com/herge.shop,"잠봉뵈르 샌드위치 7,500 | 크로플 4,000 | 크로와상 3,800 | 커스터드 크림 크로와상 5,200 | 인절미 크로와상 5,200 | 플레인 깜빠뉴 6,000 | 곡물 깜빠뉴 6,800 | 호두&크랜베리 깜빠뉴 7,000 | 초코다미아 깜빠뉴 7,500 | 무화과 깜빠뉴 7,800 | 무화과 호밀빵 8,500 | 바게트 3,800 | 올리브 치아바타 4,500 | 치즈 치아바타 4,800 | 플레인 피낭시에 2,800 | 코코넛 피낭시에 3,200 | 발로나초코 피낭시에 3,400 | 트러플 솔트 피낭시에 4,000",660
27,쿵푸소룽샤&마라룽샤,02-463-8898,중식, 동일로18길 37 1층,매일 11:30~23:30,http://024638898.tshome.co.kr/,"마라룽샤 32,000 | 마라샹궈 25,000 | 마라카오위 38,000 | 마라탕 10,000 | 매운라조기 15,000 | 가재새우세트 35,000 | 마라새우 32,000 | 마라룽샤해산물모듬 大 68,000 | 마라룽샤해산물모듬 中 48,000 | 크림새우 18,000 | 사천식육편 18,000 | Set1(마라룽샤+꿔바로우+계란볶음밥+면사리or음료) 49,000 | Set2(마라새우+꿔바로우+계란볶음밥+면사리or음료) 49,000 | Set3(마늘룽샤+꿔바로우+계란볶음밥+면사리or음료) 52,000 | Set4(특가재+꿔바로우+계란볶음밥+면사리or음료) 52,000 | Set5(가재 새우 반반+꿔바로우+계란볶음밥+면사리or음료) 52,000",649
28,kuna,010-5959-1028,양식, 연무장5길 9-16 105호,월요일 휴무 | 평일 12:00~22:00 | 토요일 12:00~22:00 | 일요일 12:00~20:00 | 매일 15:00~17:00 Break Time,http://www.instagram.com/chefkuna,"바질페스토 파스타 19,000 | 포르치니와 4가지 버섯 베이컨 크림 뇨끼 19,000 | 부라타 16,000 | 그라브락스 리코타 18,000 | 크리스피하게 구운 문어 23,000 | 가지 라자냐 21,000 | 가지 튀김 12,000 | 이탈리안식 멘보샤 13,000 | 파스닙 퓨레 깔라마리 먹물 뇨끼 24,000 | 화이트 라구 21,000 | 전복 리소토 23,000",640
29,전자방,02-420-1193,중식, 성수일로12길 23 1층,평일 11:00~14:00 | 평일 17:00~21:30 | 주말 12:00~21:00 공휴일 포함 | 월요일 휴무,,"레몬크림새우 20,000 | 양장피 24,000 | 베리베리탕수육 18,000 | 마라감바스&계란볶음밥 30,000 | 유산슬 24,000",636
30,카페온화 성수,02-461-0031,카페/디저트, 아차산로 78 1층,매일 11:00~21:00 라스트오더 20:00,http://www.instagram.com/onhwa_cafe,"벌집수플레 20,000 | 플레인수플레 16,000 | 딸기수플레 19,000 | 만다린수플레 18,000 | 핸드드립 온 5,900 | 핸드드립 화 5,900 | 싱글오리진 7,000 | 아메리카노 5,900 | 카페라떼 6,500 | 오레그랏세 6,500 | 아인슈페너 7,500 | 밀크티 7,500",622
31,미도인 성수,02-465-1995,양식, 연무장7가길 3 1층,"평일 11:15~21:00 점심 라스트 오더 14:50 저녁라스트 오더 20:30, 브레이크타임 평일 15:00~17:00 저녁 라스트 오더 20:30 | 주말 11:30~21:00 브레이크타임 없음 저녁 라스트 오더 20:30",,"미도인 등심 스테이크 13,800 | 미도인 스테이크 덮밥 9,800 | 400 등심 스테이크 덮밥(한정메뉴) 14,700 | 미도인 구첩 반상(한정메뉴) 15,900 | 가정식 대창 구첩 반상(오후한정메뉴) 15,900 | 미도인 가정식 스테이크 12,800 | 트리플 스테이크 14,800 | 대창 가정식 스테이크 16,800 | 곱창 가정식 스테이크(한정메뉴) 17,800 | 화산 불백 덮밥 9,300 | 곱창 대창 덮밥(한정메뉴) 14,800 | 큐브 스테이크 덮밥 10,900 | 대창 덮밥 12,500 | 곱창대창 큐브스테이크 덮밥(한정메뉴) 16,800 | 대창 큐브 스테이크 덮밥(대큐) 13,800 | 명란 크림 파스타 12,800 | 새우 로제 생면 파스타 13,800 | 바질크림 새우파스타 14,800 | 청두 사천 탄탄멘 8,800 | 미도인 곱창 라멘(한정메뉴) 12,800 | 미도인 우실장 떡볶이 8,800 | 미도인 곱창 떡볶이 (한정메뉴) 13,900 | 미도인 스카치 에그 (한정메뉴) 4,800 | 마리네이드 토마토 사라다 6,500 | 음료/주류 변동가격(업주문의)",610
32,카페 포제,070-8830-5994,카페/디저트, 연무장9길 7,토요일 11:00~21:00 Last Order 20:30 | 일요일 11:00~21:00 Last Order 20:30 | 월요일 11:00~20:30 Last Order 20:00 | 화요일 11:00~20:30 Last Order 20:00 | 수요일 11:00~20:30 Last Order 20:00 | 목요일 11:00~20:30 Last Order 20:00 | 금요일 11:00~20:30 Last Order 20:00,http://www.instagram.com/cafe_poze,"Espresso 4,500 | Americano 5,000 | Latte 5,500 | Flat White 5,500 | Cold Brew Cream Coffee 6,000 | Orange Lemon Ade 6,500 | Brewing 7,000 | The Barn Berlin 250g Retails 27,000",599
33,미아논나,02-2054-0111,양식, 연무장5길 9-16 블루스톤타워 104호,평일 09:00~20:00 샌드위치는 10시부터 시작합니다. | 주말 10:00~19:00,http://instagram.com/mia.nonnaa,"후무스캐롯 12,000 | VERY 이탈리안 10,000 | 아메리카노 3,800",573
34,칙피스 성수점,02-2054-0248,양식, 연무장5길 9-16 블루스톤타워 1층 101호,매일 11:30~21:00 Last Order 8:30PM,https://www.chickpeace.co.kr,"비건 샐러드 (Vegan Salad) 11,500 | 치킨 샐러드 (Chicken Salad) 11,500 | 아보카도 샐러드 (Avocado Salad) 14,000 | 오믈렛 샐러드 (Omelette Salad) 14,000 | 그릴드쉬림프 샐러드 (Grilled Shrimp Salad) 15,000 | 램케밥 샐러드 (Lamb Kebab Salad) 15,000 | 연어스테이크 샐러드 (Salmon Steak Salad) 16,000 | 부채살스테이크 샐러드 (Flat Iron Steak Salad) 16,000 | 팔라펠 라이스 (Falafel Rice) 11,500 | 치킨 라이스 (Chicken Rice) 12,000 | 오믈렛 라이스 (Omelette Rice) 14,000 | 그릴드쉬림프 라이스 (Grilled Shrimp Rice) 15,000 | 램케밥 라이스 (Lamb Kebab Rice) 15,000 | 연어스테이크 라이스 (Salmon Steak Rice) 16,500 | 부채살스테이크 라이스 (Flat Iron Steak Rice) 16,500 | 비건 샥슈카 (Vegan Shakshuka) 13,000 | 치킨 샥슈카 (Chicken Shakshuka) 14,000 | 램 샥슈카 (Lamb Shakshuka) 14,000 | 쉬림프 샥슈카 (Shrimp Shakshuka) 14,000 | 감자튀김 (French Fries) 5,000 | 오리지널 허무스 (Original Hummus) 9,000",567
35,카페 노티드 성수,070-8834-9377,카페, 연무장길 29-17 1층,매일 11:00~20:00,http://instagram.com/cafeknotted,"소르베 3,500 | 라즈베리도넛 3,000 | 얼그레이도넛 3,000 | 누텔라도넛 3,500 | 클래식 바닐라도넛 3,000",565
36,로우키,02-2537-8493,카페/디저트," 연무장3길 6 1층, B1층",평일 11:00~21:00 | 토요일 12:00~21:00 | 일요일 13:00~18:00,https://smartstore.naver.com/lowkeycoffee,"에스프레소 4,500 | 아메리카노 4,500 | 카페라떼 4,500 | 바닐라라떼 5,000 | 카라멜라떼 5,500 | COLD BREW 5,000 | MARRON MILK 4,500 | PASSIONFRUIT ADE 6,000 | WINE AED 6,000 | CHOCOLATE DRINK 6,000",528
37,잠수교집 성수점,02-465-0434,고기집, 아차산로 137 1층 잠수교집,매일 11:30~23:00 연중무휴,,"생삼겹살 15,000 | 급랭삼겹살 14,000 | 청국장 8,500 | 얼큰순두부 8,500 | 맑은명란탕 13,000 | 명품명란쌈장 6,000 | 옛날깻잎국물떡볶이 9,000 | 볶음밥 5,000 | 미나리+꽈리+고사리세트 6,000",483
38,연옥양꼬치,02-461-9368,중식, 동일로18길 42 연옥양꼬치,매일 13:00~02:00,,"고급양갈비 25,000 | 양꼬치 13,000 | 양갈비살 15,000 | 매운뚜링 19,000 | 마라양꼬치 14,000 | 소갈비살 15,000 | 양진 11,000 | 탕수육 15,000 | 지삼선 12,000 | 계란토마토볶음 12,000 | 짝태볶음 15,000 | 건두부오이무침 10,000 | 소고기오이무침 15,000 | 뚜링무침 19,000 | 콩나물명태만남 14,000",472
39,원보양꼬치,02-467-7771,중식, 동일로18길 23,매일 12:00~03:00 연중무휴,,"양다리바베큐 60,000 | 양고급등갈비구이 16,000 | 양꼬치 13,000 | 마라룽샤 35,000 | 깐풍새우 15,000 | 매운양꼬치 13,000 | 꿔바로우 12,000 | 지삼선 12,000 | 소고기청경채볶음 13,000 | 어향가지 13,000 | 향라새우 16,000 | 오징어감자볶음 15,000 | 홍소소고기 16,000 | 마라탕 8,000 | 온면 5,000 | 즈란오돌뼈 15,000 | 꼴뚜기볶음 15,000 | 짝태볶음 15,000 | 소천엽볶음 15,000 | 곱창볶음 15,000 | 철판명란 15,000 | 철판오징어 15,000",471
40,레몬그라스,010-4459-7022,아시안식, 연무장길 41-26 1층,금요일 11:30~21:00 (Break 15:00-17:00) | 목요일 11:30~21:00 (Break 15:00-17:00) | 수요일 11:30~21:00 (Break 15:00-17:00) | 주말 12:00~21:30 (Break 15:00-17:00),http://www.instagram.com/lemongrass.seongsu,"Yum Som Rut 8,000 | Green Curry 14,000 | Shrimp Pad Thai 13,000 | Mango Sticky Rice 7,000 | Som Tam 9,000",465
